bowler,format,innings,balls,runs_conceded,wickets,overs,economy,avg,sr,perf_index
T Thushara,ODI,35,1616,1378,50,269.3,5.12,27.56,32.32,16.34
J Coetzee,T20,25,543,435,50,90.5,4.81,8.7,10.86,35.38
JA Morkel,ODI,46,1900,1736,50,316.7,5.48,34.72,38.0,13.7
K Nassoro,T20,54,882,976,49,147.0,6.64,19.92,18.0,15.51
DL Brangman,T20,34,675,632,49,112.5,5.62,12.9,13.78,24.1
DM de Silva,ODI,68,2071,1778,49,345.2,5.15,36.29,42.27,14.42
KMDN Kulasekara,Test,20,3381,1793,49,563.5,3.18,36.59,69.0,24.96
M Morkel,T20,43,986,1208,49,164.3,7.35,24.65,20.12,12.1
Bilal Zalmai,T20,41,997,1168,49,166.2,7.03,23.84,20.35,12.94
Fayyaz Butt,T20,43,856,1086,49,142.7,7.61,22.16,17.47,12.73
C de Grandhomme,Test,29,4085,1652,49,680.8,2.43,33.71,83.37,33.81
KD Mills,T20,42,919,1237,49,153.2,8.07,25.24,18.76,10.85
LN Rajbanshi,ODI,35,1777,1181,48,296.2,3.99,24.6,37.02,21.89
WB Rankin,T20,40,910,966,48,151.7,6.37,20.12,18.96,15.9
FJ Klaassen,T20,40,888,1113,48,148.0,7.52,23.19,18.5,12.36
KJ O'Brien,T20,34,617,719,48,102.8,6.99,14.98,12.85,18.64
Umair Tariq,T20,34,553,673,48,92.2,7.3,14.02,11.52,19.19
Riazat Ali Shah,T20,44,775,899,48,129.2,6.96,18.73,16.15,15.61
SC Williams,T20,69,1114,1284,48,185.7,6.91,26.75,23.21,12.1
MP Stoinis,ODI,62,2073,2067,48,345.5,5.98,43.06,43.19,11.17
RJW Topley,ODI,29,1389,1241,48,231.5,5.36,25.85,28.94,15.98
JDF Vandersay,ODI,30,1447,1297,48,241.2,5.38,27.02,30.15,15.56
G Motie,T20,45,878,1171,48,146.3,8.0,24.4,18.29,11.2
Usman Khan,T20,30,579,648,48,96.5,6.72,13.5,12.06,20.82
KDA Lukies,T20,29,654,603,48,109.0,5.53,12.56,13.62,24.79
D Madushanka,ODI,24,1094,1074,48,182.3,5.89,22.38,22.79,15.86
LV van Beek,T20,33,678,866,48,113.0,7.66,18.04,14.12,14.96
M Jansen,ODI,31,1614,1650,48,269.0,6.13,34.38,33.62,11.94
TJ Murtagh,ODI,31,1675,1288,48,279.2,4.61,26.83,34.9,18.29
