batter,format,innings,runs,balls_faced,fours,sixes,strike_rate,avg_per_innings,perf_index
Habibul Bashar,ODI,49,926,1671,77,3,55.42,18.9,10.56
Chirag Suri,ODI,36,924,1472,95,13,62.77,25.67,13.62
H Lakov,T20,32,922,861,77,15,107.08,28.81,19.5
NT Broom,ODI,37,919,1168,78,10,78.68,24.84,14.98
Yasir Shah,Test,46,918,1951,105,10,47.05,19.96,10.52
G Gambhir,T20,34,918,803,108,10,114.32,27.0,20.14
WPUJC Vaas,Test,25,918,1929,107,3,47.59,36.72,13.57
Harbhajan Singh,ODI,85,917,1147,63,28,79.95,10.79,13.14
R Powell,ODI,45,915,1054,60,40,86.81,20.33,16.53
AP Rajeevan,T20,44,913,843,83,17,108.3,20.75,18.22
LS Livingstone,ODI,34,912,867,55,50,105.19,26.82,20.56
S Ravichandran,T20,43,911,782,85,20,116.5,21.19,19.5
BA Pai,T20,34,911,890,81,15,102.36,26.79,18.56
A Johnson,T20,31,910,645,85,60,141.09,29.35,26.4
S Davizi,T20,29,910,680,106,31,133.82,31.38,24.55
R Shepherd,T20,55,909,665,51,67,136.69,16.53,23.24
PR Surve,T20,35,909,807,71,28,112.64,25.97,20.25
Shadab Khan,T20,60,904,644,64,47,140.37,15.07,22.42
CP Rizwan,ODI,38,901,1573,64,2,57.28,23.71,11.49
Shoaib Khan,ODI,35,899,1118,86,15,80.41,25.69,15.73
E Dusingizimana,T20,52,898,845,89,32,106.27,17.27,18.19
SJ Modani,ODI,33,898,1460,78,5,61.51,27.21,13.06
NA Greenwood,T20,32,896,657,94,24,136.38,28.0,23.61
AT Nidamanuru,ODI,37,893,1003,60,31,89.03,24.14,17.02
A Kumble,Test,38,893,2230,114,4,40.04,23.5,10.12
PG Fulton,Test,21,892,2302,107,15,38.75,42.48,14.3
Muhammad Usman,ODI,34,888,1212,80,20,73.27,26.12,15.14
CV Anto,T20,42,886,614,56,66,144.3,21.1,25.06
Ishan Kishan,ODI,23,886,890,90,31,99.55,38.52,21.57
GC Smith,T20,31,884,738,110,21,119.78,28.52,21.72
MA Leask,T20,60,883,693,58,46,127.42,14.72,20.61
W Barresi,ODI,37,882,1184,97,12,74.49,23.84,14.59
JE Root,T20,29,881,719,91,15,122.53,30.38,21.83
BFW de Leede,T20,42,881,846,65,24,104.14,20.98,17.87
MS Chapman,ODI,26,880,848,84,30,103.77,33.85,21.0
JWA Taylor,ODI,25,879,1105,69,12,79.55,35.16,17.1
Yasim Murtaza,T20,59,879,766,63,38,114.75,14.9,18.71
Razmal Shigiwal,T20,32,875,650,74,36,134.62,27.34,23.65
IK Gamantika,T20,61,875,930,65,24,94.09,14.34,15.31
N Wagner,Test,58,875,1693,96,36,51.68,15.09,11.41
S Bau,ODI,49,874,1483,71,8,58.93,17.84,10.91
K Nassoro,T20,58,872,890,81,16,97.98,15.03,15.68
RR Pant,ODI,27,871,846,91,26,102.96,32.26,20.44
TT Bresnan,ODI,63,871,984,89,7,88.52,13.83,13.88
KD Mills,ODI,72,871,988,65,35,88.16,12.1,14.76
JO Holder,T20,65,869,638,51,59,136.21,13.37,22.04
Muhammad Asim,T20,31,868,668,87,39,129.94,28.0,23.55
B Lee,ODI,76,865,1087,51,24,79.58,11.38,12.76
KD Karthik,Test,20,863,1733,114,4,49.8,43.15,15.21
TD Paine,ODI,34,861,1250,94,6,68.88,25.32,13.79
AR Patel,ODI,49,858,969,53,31,88.54,17.51,15.49
S Dube,T20,43,857,592,54,56,144.76,19.93,24.24
JP Kotze,T20,45,855,740,85,40,115.54,19.0,20.0
Zeeshan Khan,T20,36,852,726,98,22,117.36,23.67,20.31
P Baron,T20,31,851,729,97,18,116.74,27.45,20.75
Aqib Iqbal,T20,45,850,737,66,27,115.33,18.89,18.96
Rameez Shahzad,ODI,25,848,1118,75,17,75.85,33.92,16.72
Shubman Gill,T20,35,846,634,93,26,133.44,24.17,22.51
L Tucker,ODI,43,844,1045,79,9,80.77,19.63,14.04
SSJ Brooks,ODI,29,842,1150,69,16,73.22,29.03,15.28
Naeem Islam,ODI,45,842,1246,73,12,67.58,18.71,12.35
GC Wilson,T20,49,840,847,73,12,99.17,17.14,15.87
Mohammad Naim,T20,35,839,827,74,18,101.45,23.97,17.87
CJA Amini,T20,43,836,732,69,22,114.21,19.44,18.67
Ahmad Ramdoni,T20,60,836,990,61,29,84.44,13.93,14.24
SR Taylor,T20,29,834,646,90,37,129.1,28.76,23.48
B Lee,Test,37,834,1638,105,11,50.92,22.54,11.45
